round,noniid_fedavg_mean_loss,fedprox_mean_objective
1,0.0028131785238595937,0.005055463665464377
2,0.002469698559266741,0.003449116007367661
3,0.0024268485436021625,0.002969587549763296
4,0.002384211916362344,0.002771816806181252
5,0.0023618445985323887,0.0026785681363236317
6,0.0023520679453528756,0.0026317043536981098
7,0.002347084198085172,0.002604794584712636
8,0.0023440734191585346,0.002587798998402344
9,0.002341870347987742,0.0025777801997341324
10,0.0023391478038625197,0.0025697147661200904
